vector;neuron;step;score
[7.324676,2.946519,5.620285,2.016256];0;-1;0
[7.581930,2.474123,2.977814,1.943751];1;-1;0
[5.299989,3.329528,3.816643,1.609290];2;-1;0
[5.613224,3.232162,6.618155,2.298868];3;-1;0
[6.588562,3.721513,1.835455,1.556725];4;-1;0
[4.358682,2.582928,1.809666,2.030024];5;-1;0
[4.864045,2.962267,1.765764,0.361141];6;-1;0
[7.896128,2.523817,4.026301,2.113869];7;-1;0
[6.505503,2.710476,4.761558,1.358289];8;-1;0
[6.076899,4.334660,2.725849,1.951258];9;-1;0
[6.196282,3.847793,3.361349,2.239671];10;-1;0
[5.319933,2.845900,5.765575,2.305664];11;-1;0
[4.551119,4.278385,4.103373,0.306534];12;-1;0
[4.991970,3.591745,6.252372,0.937343];13;-1;0
[4.531017,2.048055,3.700440,0.251430];14;-1;0
[5.157808,4.329522,6.323028,2.142207];15;-1;0
[5.259997,3.295425,3.213721,1.924597];16;-1;0
[6.145127,3.602537,4.136478,0.194273];17;-1;0
[5.875495,4.236404,6.491778,1.830286];18;-1;0
[5.323456,3.772482,4.775875,0.949717];19;-1;0
[6.776301,2.398338,3.596617,2.212181];20;-1;0
[7.285124,2.792809,2.350912,2.244094];21;-1;0
[5.561297,3.648008,6.643163,1.512736];22;-1;0
[6.666295,4.060823,3.593404,2.317527];23;-1;0
[5.734372,3.955441,5.036889,2.286333];24;-1;0
[6.036966,2.517980,6.606489,2.308308];25;-1;0
[4.831576,4.114549,4.782376,1.136688];26;-1;0
[6.530547,2.674543,5.637412,0.837899];27;-1;0
[5.909321,2.542656,2.106445,0.762963];28;-1;0
[6.303198,2.999603,2.000682,2.276329];29;-1;0
[4.671416,2.302581,3.923120,1.925141];30;-1;0
[7.845106,4.244010,5.038226,1.019652];31;-1;0
[6.999175,2.884793,2.735546,0.657428];32;-1;0
[6.404159,2.586591,1.899100,1.857156];33;-1;0
[4.751710,3.904329,1.968201,1.888171];34;-1;0
[4.568307,4.280250,1.309923,1.351752];35;-1;0
[4.934358,2.576150,5.707009,1.858371];36;-1;0
[6.663629,4.321772,4.772804,1.923364];37;-1;0
[4.636530,2.323766,4.069239,0.287757];38;-1;0
[4.551663,2.491172,3.722381,2.067225];39;-1;0
[6.363947,3.813394,1.306439,0.478737];40;-1;0
[7.899977,2.490389,6.250738,0.401124];41;-1;0
[7.892076,2.129738,6.136185,0.273589];42;-1;0
[4.314982,4.215366,4.503964,0.532893];43;-1;0
[4.887273,2.940057,6.386857,2.067268];44;-1;0
[5.592743,3.325964,4.418637,1.186182];45;-1;0
[6.774595,2.239136,4.131767,1.917505];46;-1;0
[5.395463,4.381348,4.404130,2.206273];47;-1;0
[6.992113,3.509384,1.208983,1.894727];48;-1;0
[7.299659,4.220904,6.152301,2.094490];49;-1;0
[7.825963,3.785147,6.329861,2.460630];50;-1;0
[6.700769,3.193420,1.967411,2.092028];51;-1;0
[7.500216,2.184787,4.833271,0.695306];52;-1;0
[6.566127,2.549929,5.133658,0.860481];53;-1;0
[5.483597,2.555427,1.437550,1.619373];54;-1;0
[5.105163,3.562717,4.013047,2.431518];55;-1;0
[5.308151,3.310657,5.243685,0.371873];56;-1;0
[5.997340,3.422096,6.571477,1.182202];57;-1;0
[5.510864,4.034443,3.563628,0.107756];58;-1;0
[5.541795,3.436355,5.916135,0.661340];59;-1;0
[7.324676,2.946519,5.620285,2.016256];0;0;17
[7.542504,2.499524,3.070764,1.960859];1;0;0
[5.446719,3.325195,4.137002,1.739982];2;0;2
[6.093967,3.279649,6.185447,2.439660];3;0;8
[6.546222,3.659665,2.446510,1.695130];4;0;0
[4.418389,2.604982,1.938544,2.044479];5;0;0
[4.864045,2.962267,1.765764,0.361141];6;0;43
[7.896128,2.523817,4.026301,2.113869];7;0;0
[6.505503,2.710476,4.761558,1.358289];8;0;34
[6.076899,4.334660,2.725849,1.951258];9;0;0
[6.196282,3.847793,3.361349,2.239671];10;0;0
[5.340778,2.855558,5.770561,2.309797];11;0;5
[4.685455,4.203232,4.249058,0.475020];12;0;0
[5.183894,3.548938,6.215342,1.166629];13;0;0
[4.666897,2.144221,3.877076,0.424149];14;0;5
[5.182100,4.307626,6.316157,2.149817];15;0;0
[5.259997,3.295425,3.213721,1.924597];16;0;1
[6.145127,3.602537,4.136478,0.194273];17;0;0
[5.875495,4.236404,6.491778,1.830286];18;0;0
[5.323456,3.772482,4.775875,0.949717];19;0;0
[6.776301,2.398338,3.596617,2.212181];20;0;0
[7.276820,2.797084,2.381670,2.246251];21;0;0
[5.577008,3.640606,6.629484,1.533734];22;0;0
[6.655029,4.037423,3.667420,2.323140];23;0;0
[5.746402,3.941500,5.057373,2.290877];24;0;1
[6.039183,2.524571,6.601377,2.309924];25;0;0
[4.831576,4.114549,4.782376,1.136688];26;0;0
[6.530547,2.674543,5.637412,0.837899];27;0;1
[5.909321,2.542656,2.106445,0.762963];28;0;0
[6.303198,2.999603,2.000682,2.276329];29;0;0
[4.671416,2.302581,3.923120,1.925141];30;0;2
[7.845106,4.244010,5.038226,1.019652];31;0;0
[6.999175,2.884793,2.735546,0.657428];32;0;0
[6.404159,2.586591,1.899100,1.857156];33;0;0
[4.751710,3.904329,1.968201,1.888171];34;0;0
[4.568307,4.280250,1.309923,1.351752];35;0;0
[4.934358,2.576150,5.707009,1.858371];36;0;0
[6.663629,4.321772,4.772804,1.923364];37;0;0
[4.636530,2.323766,4.069239,0.287757];38;0;0
[4.551663,2.491172,3.722381,2.067225];39;0;0
[6.363947,3.813394,1.306439,0.478737];40;0;7
[7.899977,2.490389,6.250738,0.401124];41;0;0
[7.892076,2.129738,6.136185,0.273589];42;0;0
[4.314982,4.215366,4.503964,0.532893];43;0;0
[4.887273,2.940057,6.386857,2.067268];44;0;0
[5.592743,3.325964,4.418637,1.186182];45;0;19
[6.774595,2.239136,4.131767,1.917505];46;0;0
[5.395463,4.381348,4.404130,2.206273];47;0;0
[6.992113,3.509384,1.208983,1.894727];48;0;0
[7.299659,4.220904,6.152301,2.094490];49;0;0
[7.825963,3.785147,6.329861,2.460630];50;0;5
[6.700769,3.193420,1.967411,2.092028];51;0;0
[7.500216,2.184787,4.833271,0.695306];52;0;0
[6.566127,2.549929,5.133658,0.860481];53;0;0
[5.483597,2.555427,1.437550,1.619373];54;0;0
[5.105163,3.562717,4.013047,2.431518];55;0;0
[5.308151,3.310657,5.243685,0.371873];56;0;0
[5.997340,3.422096,6.571477,1.182202];57;0;0
[5.510864,4.034443,3.563628,0.107756];58;0;0
[5.541795,3.436355,5.916135,0.661340];59;0;0
[7.324676,2.946519,5.620285,2.016256];0;1;17
[7.542504,2.499524,3.070764,1.960859];1;1;0
[5.446719,3.325195,4.137002,1.739982];2;1;3
[6.093967,3.279649,6.185447,2.439660];3;1;8
[6.546222,3.659665,2.446510,1.695130];4;1;0
[4.418389,2.604982,1.938544,2.044479];5;1;0
[4.864045,2.962267,1.765764,0.361141];6;1;43
[7.896128,2.523817,4.026301,2.113869];7;1;0
[6.505503,2.710476,4.761558,1.358289];8;1;29
[6.076899,4.334660,2.725849,1.951258];9;1;0
[6.196282,3.847793,3.361349,2.239671];10;1;0
[5.340778,2.855558,5.770561,2.309797];11;1;1
[4.685455,4.203232,4.249058,0.475020];12;1;0
[5.183894,3.548938,6.215342,1.166629];13;1;0
[4.666897,2.144221,3.877076,0.424149];14;1;3
[5.182100,4.307626,6.316157,2.149817];15;1;0
[5.259997,3.295425,3.213721,1.924597];16;1;1
[6.145127,3.602537,4.136478,0.194273];17;1;0
[5.875495,4.236404,6.491778,1.830286];18;1;0
[5.323456,3.772482,4.775875,0.949717];19;1;0
[6.776301,2.398338,3.596617,2.212181];20;1;0
[7.276820,2.797084,2.381670,2.246251];21;1;0
[5.577008,3.640606,6.629484,1.533734];22;1;0
[6.650351,4.026993,3.670224,2.314516];23;1;0
[5.753922,3.917222,5.034884,2.269803];24;1;1
[6.041054,2.533042,6.521369,2.278862];25;1;0
[4.858553,4.086591,4.765736,1.140162];26;1;0
[6.526918,2.675600,5.623611,0.841794];27;1;1
[5.909321,2.542656,2.106445,0.762963];28;1;0
[6.303198,2.999603,2.000682,2.276329];29;1;0
[4.671416,2.302581,3.923120,1.925141];30;1;1
[7.845106,4.244010,5.038226,1.019652];31;1;0
[6.999175,2.884793,2.735546,0.657428];32;1;0
[6.397690,2.591129,1.943783,1.845307];33;1;0
[4.855276,3.819502,2.124270,1.842992];34;1;0
[4.793049,4.063056,1.704632,1.344159];35;1;0
[5.023895,2.593344,5.575888,1.815481];36;1;4
[6.651642,4.289407,4.756368,1.910106];37;1;0
[4.636530,2.323766,4.069239,0.287757];38;1;0
[4.551663,2.491172,3.722381,2.067225];39;1;0
[6.363947,3.813394,1.306439,0.478737];40;1;7
[7.899977,2.490389,6.250738,0.401124];41;1;0
[7.892076,2.129738,6.136185,0.273589];42;1;0
[4.369882,4.171835,4.488464,0.556486];43;1;0
[5.065214,2.919506,6.036639,1.954689];44;1;0
[5.947823,2.957789,4.125591,1.265855];45;1;26
[6.675613,2.321431,4.112433,1.826900];46;1;0
[5.417131,4.332713,4.391700,2.178400];47;1;0
[6.992113,3.509384,1.208983,1.894727];48;1;0
[7.299659,4.220904,6.152301,2.094490];49;1;0
[7.825963,3.785147,6.329861,2.460630];50;1;5
[6.700769,3.193420,1.967411,2.092028];51;1;0
[7.500216,2.184787,4.833271,0.695306];52;1;0
[6.556213,2.555247,5.109547,0.869829];53;1;0
[5.530945,2.574213,1.634379,1.594841];54;1;0
[5.251133,3.450805,4.011133,2.265492];55;1;0
[5.368975,3.271432,5.148154,0.443165];56;1;0
[5.999524,3.408865,6.516785,1.184708];57;1;0
[5.510864,4.034443,3.563628,0.107756];58;1;0
[5.541795,3.436355,5.916135,0.661340];59;1;0
[7.280859,2.954315,5.595057,2.009605];0;2;16
[7.301502,2.602303,3.324491,1.937256];1;2;0
[5.764016,3.237559,4.601101,1.781995];2;2;12
[6.065507,3.267962,5.982163,2.345804];3;2;10
[6.526347,3.645528,2.518894,1.698355];4;2;0
[4.418389,2.604982,1.938544,2.044479];5;2;0
[4.864045,2.962267,1.765764,0.361141];6;2;43
[7.896128,2.523817,4.026301,2.113869];7;2;0
[6.505503,2.710476,4.761558,1.358289];8;2;24
[6.076899,4.334660,2.725849,1.951258];9;2;0
[6.189980,3.834016,3.391947,2.230320];10;2;0
[5.383733,2.882016,5.696009,2.270638];11;2;1
[4.863663,4.056030,4.329897,0.669432];12;2;0
[5.238901,3.522135,6.106626,1.215280];13;2;0
[4.693124,2.166676,3.896705,0.453411];14;2;3
[5.182100,4.307626,6.316157,2.149817];15;2;0
[5.259997,3.295425,3.213721,1.924597];16;2;1
[6.145127,3.602537,4.136478,0.194273];17;2;0
[5.875495,4.236404,6.491778,1.830286];18;2;0
[5.323456,3.772482,4.775875,0.949717];19;2;0
[6.768915,2.405095,3.606760,2.208706];20;2;0
[7.247538,2.805654,2.433104,2.236760];21;2;0
[5.586942,3.627055,6.573216,1.541923];22;2;0
[6.634392,4.009404,3.694252,2.303573];23;2;0
[5.755154,3.911177,5.032905,2.265843];24;2;0
[6.041054,2.533042,6.521369,2.278862];25;2;0
[4.858553,4.086591,4.765736,1.140162];26;2;0
[6.526918,2.675600,5.623611,0.841794];27;2;1
[5.909321,2.542656,2.106445,0.762963];28;2;0
[6.303198,2.999603,2.000682,2.276329];29;2;0
[4.671416,2.302581,3.923120,1.925141];30;2;1
[7.845106,4.244010,5.038226,1.019652];31;2;0
[6.999175,2.884793,2.735546,0.657428];32;2;0
[6.397690,2.591129,1.943783,1.845307];33;2;0
[4.855276,3.819502,2.124270,1.842992];34;2;0
[4.793049,4.063056,1.704632,1.344159];35;2;0
[5.023895,2.593344,5.575888,1.815481];36;2;0
[6.651642,4.289407,4.756368,1.910106];37;2;0
[4.636530,2.323766,4.069239,0.287757];38;2;0
[4.551663,2.491172,3.722381,2.067225];39;2;0
[6.363947,3.813394,1.306439,0.478737];40;2;7
[7.899977,2.490389,6.250738,0.401124];41;2;0
[7.892076,2.129738,6.136185,0.273589];42;2;0
[4.369882,4.171835,4.488464,0.556486];43;2;0
[5.065214,2.919506,6.036639,1.954689];44;2;0
[5.947823,2.957789,4.125591,1.265855];45;2;25
[6.675613,2.321431,4.112433,1.826900];46;2;0
[5.417131,4.332713,4.391700,2.178400];47;2;0
[6.992113,3.509384,1.208983,1.894727];48;2;0
[7.299659,4.220904,6.152301,2.094490];49;2;0
[7.825963,3.785147,6.329861,2.460630];50;2;6
[6.700769,3.193420,1.967411,2.092028];51;2;0
[7.500216,2.184787,4.833271,0.695306];52;2;0
[6.556213,2.555247,5.109547,0.869829];53;2;0
[5.530945,2.574213,1.634379,1.594841];54;2;0
[5.251133,3.450805,4.011133,2.265492];55;2;0
[5.368975,3.271432,5.148154,0.443165];56;2;0
[5.999524,3.408865,6.516785,1.184708];57;2;0
[5.510864,4.034443,3.563628,0.107756];58;2;0
[5.541795,3.436355,5.916135,0.661340];59;2;0
[7.280859,2.954315,5.595057,2.009605];0;3;17
[7.301502,2.602303,3.324491,1.937256];1;3;0
[5.764016,3.237559,4.601101,1.781995];2;3;13
[6.065507,3.267962,5.982163,2.345804];3;3;10
[6.482478,3.650278,2.499859,1.658423];4;3;0
[4.518400,2.780325,1.932888,1.803188];5;3;0
[5.029213,3.548680,1.859729,0.388342];6;3;48
[7.485858,2.711068,3.714313,1.862397];7;3;0
[6.462276,2.743985,4.673549,1.328816];8;3;24
[6.076899,4.334660,2.725849,1.951258];9;3;0
[6.189980,3.834016,3.391947,2.230320];10;3;0
[5.383733,2.882016,5.696009,2.270638];11;3;1
[4.863663,4.056030,4.329897,0.669432];12;3;0
[5.238901,3.522135,6.106626,1.215280];13;3;0
[4.701777,2.201414,3.854238,0.452275];14;3;3
[5.175794,4.268633,5.976940,2.015409];15;3;0
[5.236521,3.369460,3.020962,1.700896];16;3;1
[6.064848,3.617705,3.964688,0.210075];17;3;0
[5.859002,4.227123,6.394118,1.799866];18;3;0
[5.323456,3.772482,4.775875,0.949717];19;3;0
[6.768915,2.405095,3.606760,2.208706];20;3;0
[7.247538,2.805654,2.433104,2.236760];21;3;0
[5.586942,3.627055,6.573216,1.541923];22;3;0
[6.634392,4.009404,3.694252,2.303573];23;3;0
[5.749632,3.910240,5.006498,2.250116];24;3;0
[6.021039,2.559989,6.423080,2.238902];25;3;0
[4.865979,4.077776,4.677597,1.117397];26;3;0
[6.496570,2.699514,5.544415,0.832398];27;3;1
[5.902499,2.553254,2.104705,0.759904];28;3;0
[6.303198,2.999603,2.000682,2.276329];29;3;0
[4.671416,2.302581,3.923120,1.925141];30;3;1
[7.845106,4.244010,5.038226,1.019652];31;3;0
[6.999175,2.884793,2.735546,0.657428];32;3;0
[6.397690,2.591129,1.943783,1.845307];33;3;0
[4.855276,3.819502,2.124270,1.842992];34;3;0
[4.793049,4.063056,1.704632,1.344159];35;3;0
[5.023895,2.593344,5.575888,1.815481];36;3;0
[6.651642,4.289407,4.756368,1.910106];37;3;0
